token	exchange	symbol	series	security_desc
6164	NSE_EQ	BHAGCHEM	EQ	BHAGIRADHA CHEM & INDS L
13400	NSE_EQ	BHAGERIA	EQ	BHAGERIA INDUSTRIES LTD
19556	NSE_EQ	BHANDARI	EQ	BHANDARI HOSIERY EXP LTD
23489	NSE_EQ	BHARTIHEXA	EQ	BHARTI HEXACOM LIMITED
7848	NSE_EQ	BIL	EQ	BHARTIYA INTERNATIONAL
13625	NSE_EQ	BILVYAPAR	EQ	BIL VYAPAR LIMITED
11373	NSE_EQ	BIOCON	EQ	BIOCON LIMITED.
4136	NSE_EQ	BIOFILCHEM	EQ	BIOFIL CHEM & PHARMA LTD
477	NSE_EQ	BIRLACABLE	EQ	BIRLA CABLE LIMITED
480	NSE_EQ	BIRLACORPN	EQ	BIRLA CORPORATION LTD
15239	NSE_EQ	BIRLAMONEY	EQ	ADITYA BIRLA MONEY LTD
1455	NSE_EQ	BIRLANU	EQ	BIRLANU LIMITED
27144	NSE_EQ	BLACKBUCK	EQ	BLACKBUCK LIMITED
15067	NSE_EQ	BLAL	EQ	BEML LAND ASSETS LIMITED
8132	NSE_EQ	BLBLIMITED	EQ	BLB LIMITED
19265	NSE_EQ	BLISSGVS	EQ	BLISS GVS PHARMA LTD
13290	NSE_EQ	BLKASHYAP	EQ	B.L.KASHYAP & SON LTD
17279	NSE_EQ	BLS	EQ	BLS INTL SERVS LTD
8311	NSE_EQ	BLUESTARCO	EQ	BLUE STAR LIMITED
759291	NSE_EQ	BLUESTONE	EQ	BLUESTONE JEWEL LFSTL LTD
757520	NSE_EQ	BLUSPRING	EQ	BLUSPRING ENTERPRISES LTD
759256	NSE_EQ	BMWVENTLTD	EQ	BMW VENTURES LIMITED
25017	NSE_EQ	BODALCHEM	EQ	BODAL CHEMICALS LTD
513	NSE_EQ	BOMDYEING	EQ	BOMBAY DYEING & MFG. CO L
757919	NSE_EQ	BORANA	EQ	BORANA WEAVES LIMITED
19401	NSE_EQ	BOROLTD	EQ	BOROSIL LIMITED
3149	NSE_EQ	BORORENEW	EQ	BOROSIL RENEWABLES LTD
24014	NSE_EQ	BOROSCI	EQ	BOROSIL SCIENTIFIC LTD
2181	NSE_EQ	BOSCHLTD	EQ	BOSCH LIMITED
526	NSE_EQ	BPCL	EQ	BHARAT PETROLEUM CORP  LT
15184	NSE_EQ	BRIGADE	EQ	BRIGADE ENTER. LTD
757794	NSE_EQ	BRIGHOTEL	EQ	BRIGADE HOTEL VENTURE LTD
21683	NSE_EQ	BRNL	EQ	BHARAT ROAD NETWORK LTD
25136	NSE_EQ	BROOKS	EQ	BROOKS LAB LIMITED
809	NSE_EQ	BSHSL	EQ	BOMBAY SUPER HYBRID SEEDS
559	NSE_EQ	BSL	EQ	BSL LTD
5957	NSE_EQ	BSLSENETFG	EQ	BIRLASLAMC - BSLSENETFG
